model,setting,principle,mean,std,count,model_setting
base_dpo,0.5,Authentic Voice Alignment,2.87,,1,base_dpo | 0.5
base_dpo,0.5,Comprehensive Helpfulness,2.71,,1,base_dpo | 0.5
base_dpo,0.5,Concise Completeness,2.85,,1,base_dpo | 0.5
base_dpo,0.5,Contextual Consistency,3.6,,1,base_dpo | 0.5
base_dpo,0.5,Direct and Thoughtful Response,3.55,,1,base_dpo | 0.5
base_dpo,0.5,Explain Causes and Risks,2.55,,1,base_dpo | 0.5
base_dpo,0.5,Full Coverage,2.75,,1,base_dpo | 0.5
base_dpo,0.5,Logical Clarity,3.28,,1,base_dpo | 0.5
base_dpo,0.5,Precision and Accuracy,2.29,,1,base_dpo | 0.5
base_dpo,0.5,Proactive Usefulness,2.59,,1,base_dpo | 0.5
base_dpo,0.5,Reasoned Engagement,3.36,,1,base_dpo | 0.5
base_dpo,0.5,Structured Guidance,2.35,,1,base_dpo | 0.5
base_dpo,greedy,Authentic Voice Alignment,2.79,,1,base_dpo | greedy
base_dpo,greedy,Comprehensive Helpfulness,2.72,,1,base_dpo | greedy
base_dpo,greedy,Concise Completeness,2.86,,1,base_dpo | greedy
base_dpo,greedy,Contextual Consistency,3.65,,1,base_dpo | greedy
base_dpo,greedy,Direct and Thoughtful Response,3.52,,1,base_dpo | greedy
base_dpo,greedy,Explain Causes and Risks,2.47,,1,base_dpo | greedy
base_dpo,greedy,Full Coverage,2.78,,1,base_dpo | greedy
base_dpo,greedy,Logical Clarity,3.27,,1,base_dpo | greedy
base_dpo,greedy,Precision and Accuracy,2.31,,1,base_dpo | greedy
base_dpo,greedy,Proactive Usefulness,2.62,,1,base_dpo | greedy
base_dpo,greedy,Reasoned Engagement,3.26,,1,base_dpo | greedy
base_dpo,greedy,Structured Guidance,2.5,,1,base_dpo | greedy
base_sft,0.5,Authentic Voice Alignment,2.8,,1,base_sft | 0.5
base_sft,0.5,Comprehensive Helpfulness,2.62,,1,base_sft | 0.5
base_sft,0.5,Concise Completeness,2.85,,1,base_sft | 0.5
base_sft,0.5,Contextual Consistency,3.5,,1,base_sft | 0.5
base_sft,0.5,Direct and Thoughtful Response,3.51,,1,base_sft | 0.5
base_sft,0.5,Explain Causes and Risks,2.43,,1,base_sft | 0.5
base_sft,0.5,Full Coverage,2.78,,1,base_sft | 0.5
base_sft,0.5,Logical Clarity,3.32,,1,base_sft | 0.5
base_sft,0.5,Precision and Accuracy,2.33,,1,base_sft | 0.5
base_sft,0.5,Proactive Usefulness,2.5,,1,base_sft | 0.5
base_sft,0.5,Reasoned Engagement,3.2,,1,base_sft | 0.5
base_sft,0.5,Structured Guidance,2.51,,1,base_sft | 0.5
base_sft,greedy,Authentic Voice Alignment,2.81,,1,base_sft | greedy
base_sft,greedy,Comprehensive Helpfulness,2.7,,1,base_sft | greedy
base_sft,greedy,Concise Completeness,2.85,,1,base_sft | greedy
base_sft,greedy,Contextual Consistency,3.58,,1,base_sft | greedy
base_sft,greedy,Direct and Thoughtful Response,3.42,,1,base_sft | greedy
base_sft,greedy,Explain Causes and Risks,2.51,,1,base_sft | greedy
base_sft,greedy,Full Coverage,2.8,,1,base_sft | greedy
base_sft,greedy,Logical Clarity,3.25,,1,base_sft | greedy
base_sft,greedy,Precision and Accuracy,2.23,,1,base_sft | greedy
base_sft,greedy,Proactive Usefulness,2.59,,1,base_sft | greedy
base_sft,greedy,Reasoned Engagement,3.23,,1,base_sft | greedy
base_sft,greedy,Structured Guidance,2.47,,1,base_sft | greedy
base_sft_temp,1,Authentic Voice Alignment,2.52,,1,base_sft_temp | 1
base_sft_temp,1,Comprehensive Helpfulness,2.24,,1,base_sft_temp | 1
base_sft_temp,1,Concise Completeness,2.28,,1,base_sft_temp | 1
base_sft_temp,1,Contextual Consistency,3.12,,1,base_sft_temp | 1
base_sft_temp,1,Direct and Thoughtful Response,2.87,,1,base_sft_temp | 1
base_sft_temp,1,Explain Causes and Risks,2.5,,1,base_sft_temp | 1
base_sft_temp,1,Full Coverage,2.18,,1,base_sft_temp | 1
base_sft_temp,1,Logical Clarity,2.68,,1,base_sft_temp | 1
base_sft_temp,1,Precision and Accuracy,1.84,,1,base_sft_temp | 1
base_sft_temp,1,Proactive Usefulness,2.17,,1,base_sft_temp | 1
base_sft_temp,1,Reasoned Engagement,2.82,,1,base_sft_temp | 1
base_sft_temp,1,Structured Guidance,2.04,,1,base_sft_temp | 1
tuned_dpo,0.5,Authentic Voice Alignment,2.9,,1,tuned_dpo | 0.5
tuned_dpo,0.5,Comprehensive Helpfulness,2.76,,1,tuned_dpo | 0.5
tuned_dpo,0.5,Concise Completeness,2.9,,1,tuned_dpo | 0.5
tuned_dpo,0.5,Contextual Consistency,3.73,,1,tuned_dpo | 0.5
tuned_dpo,0.5,Direct and Thoughtful Response,3.63,,1,tuned_dpo | 0.5
tuned_dpo,0.5,Explain Causes and Risks,2.81,,1,tuned_dpo | 0.5
tuned_dpo,0.5,Full Coverage,2.82,,1,tuned_dpo | 0.5
tuned_dpo,0.5,Logical Clarity,3.46,,1,tuned_dpo | 0.5
tuned_dpo,0.5,Precision and Accuracy,2.26,,1,tuned_dpo | 0.5
tuned_dpo,0.5,Proactive Usefulness,2.7,,1,tuned_dpo | 0.5
tuned_dpo,0.5,Reasoned Engagement,3.49,,1,tuned_dpo | 0.5
tuned_dpo,0.5,Structured Guidance,2.59,,1,tuned_dpo | 0.5
tuned_dpo,greedy,Authentic Voice Alignment,2.94,,1,tuned_dpo | greedy
tuned_dpo,greedy,Comprehensive Helpfulness,2.79,,1,tuned_dpo | greedy
tuned_dpo,greedy,Concise Completeness,2.98,,1,tuned_dpo | greedy
tuned_dpo,greedy,Contextual Consistency,3.76,,1,tuned_dpo | greedy
tuned_dpo,greedy,Direct and Thoughtful Response,3.67,,1,tuned_dpo | greedy
tuned_dpo,greedy,Explain Causes and Risks,2.89,,1,tuned_dpo | greedy
tuned_dpo,greedy,Full Coverage,2.88,,1,tuned_dpo | greedy
tuned_dpo,greedy,Logical Clarity,3.46,,1,tuned_dpo | greedy
tuned_dpo,greedy,Precision and Accuracy,2.27,,1,tuned_dpo | greedy
tuned_dpo,greedy,Proactive Usefulness,2.78,,1,tuned_dpo | greedy
tuned_dpo,greedy,Reasoned Engagement,3.52,,1,tuned_dpo | greedy
tuned_dpo,greedy,Structured Guidance,2.64,,1,tuned_dpo | greedy
tuned_dpo_temp,1,Authentic Voice Alignment,2.83,,1,tuned_dpo_temp | 1
tuned_dpo_temp,1,Comprehensive Helpfulness,2.75,,1,tuned_dpo_temp | 1
tuned_dpo_temp,1,Concise Completeness,2.82,,1,tuned_dpo_temp | 1
tuned_dpo_temp,1,Contextual Consistency,3.53,,1,tuned_dpo_temp | 1
tuned_dpo_temp,1,Direct and Thoughtful Response,3.4,,1,tuned_dpo_temp | 1
tuned_dpo_temp,1,Explain Causes and Risks,2.76,,1,tuned_dpo_temp | 1
tuned_dpo_temp,1,Full Coverage,2.78,,1,tuned_dpo_temp | 1
tuned_dpo_temp,1,Logical Clarity,3.24,,1,tuned_dpo_temp | 1
tuned_dpo_temp,1,Precision and Accuracy,2.13,,1,tuned_dpo_temp | 1
tuned_dpo_temp,1,Proactive Usefulness,2.71,,1,tuned_dpo_temp | 1
tuned_dpo_temp,1,Reasoned Engagement,3.32,,1,tuned_dpo_temp | 1
tuned_dpo_temp,1,Structured Guidance,2.55,,1,tuned_dpo_temp | 1
tuned_sft,0.5,Authentic Voice Alignment,2.98,,1,tuned_sft | 0.5
tuned_sft,0.5,Comprehensive Helpfulness,2.87,,1,tuned_sft | 0.5
tuned_sft,0.5,Concise Completeness,2.98,,1,tuned_sft | 0.5
tuned_sft,0.5,Contextual Consistency,3.73,,1,tuned_sft | 0.5
tuned_sft,0.5,Direct and Thoughtful Response,3.63,,1,tuned_sft | 0.5
tuned_sft,0.5,Explain Causes and Risks,2.77,,1,tuned_sft | 0.5
tuned_sft,0.5,Full Coverage,2.84,,1,tuned_sft | 0.5
tuned_sft,0.5,Logical Clarity,3.47,,1,tuned_sft | 0.5
tuned_sft,0.5,Precision and Accuracy,2.3,,1,tuned_sft | 0.5
tuned_sft,0.5,Proactive Usefulness,2.82,,1,tuned_sft | 0.5
tuned_sft,0.5,Reasoned Engagement,3.5,,1,tuned_sft | 0.5
tuned_sft,0.5,Structured Guidance,2.6,,1,tuned_sft | 0.5
tuned_sft,greedy,Authentic Voice Alignment,2.97,,1,tuned_sft | greedy
tuned_sft,greedy,Comprehensive Helpfulness,2.88,,1,tuned_sft | greedy
tuned_sft,greedy,Concise Completeness,2.99,,1,tuned_sft | greedy
tuned_sft,greedy,Contextual Consistency,3.8,,1,tuned_sft | greedy
